Date,Forecast_Close,Lower_Bound,Upper_Bound
2023-10-17,355.73784945864685,345.85471045911595,365.62098845817775
2023-10-18,381.20069173678183,371.31755273725094,391.08383073631273
2023-10-19,393.94315699089196,384.06001799136106,403.82629599042286
2023-10-20,389.5166151553703,379.6334761558394,399.3997541549012
2023-10-23,366.3151224743461,356.4319834748152,376.198261473877
2023-10-24,331.3511978433107,321.4680588437798,341.23433684284157
2023-10-25,326.423727187874,316.5405881883431,336.3068661874049
2023-10-26,361.22644706111345,351.34330806158255,371.10958606064435
2023-10-27,414.78587501513636,404.90273601560546,424.66901401466725
2023-10-30,445.1225083717566,435.2393693722257,455.0056473712875
2023-10-31,407.8056243233547,397.9224853238238,417.6887633228856
2023-11-01,318.60857622666657,308.72543722713567,328.49171522619747
2023-11-02,248.65856523204246,238.77542623251153,258.54170423157336
2023-11-03,272.6077566119091,262.7246176123782,282.49089561144
2023-11-06,403.36460456721346,393.48146556768256,413.24774356674436
2023-11-07,547.1309525776996,537.2478135781687,557.0140915772306
2023-11-08,563.9379063389167,554.0547673393858,573.8210453384477
2023-11-09,392.0197024566591,382.1365634571282,401.90284145619
2023-11-10,133.90946834227356,124.02632934274263,143.79260734180448
2023-11-13,18.079584230430278,8.196445230899352,27.962723229961206
2023-11-14,212.9015716759166,203.0184326763857,222.78471067544754
2023-11-15,635.1721949030357,625.2890559035047,645.0553339025666
2023-11-16,944.3439611778933,934.4608221783624,954.2271001774243
2023-11-17,788.411346665936,778.528207666405,798.2944856654669
2023-11-20,154.41477283646594,144.53163383693501,164.29791183599687
2023-11-21,-494.7047748156106,-504.5879138151415,-484.8216358160797
2023-11-22,-512.8812677655428,-522.7644067650738,-502.9981287660119
2023-11-23,348.1248180870244,338.2416790874935,358.0079570865553
2023-11-24,1543.9547620756491,1534.0716230761182,1553.83790107518
2023-11-27,1995.4115333456373,1985.5283943461063,2005.2946723451682
